u_0;u_1;v_0;v_1;Euklid;Winkel;Winkel+;Winkelsk;Winkellog
1137;540;783;540;354.0;180.0;319.51056320566306;174.77760112520454;179.9999999958869
1138;540;782;540;356.0;180.0;321.1728506583332;174.8810115514468;179.99999999673904
1139;540;781;540;358.0;180.0;322.83587161280576;174.98237431405553;179.99999999741468
1140;540;780;540;360.0;180.0;324.49961479175903;175.08172995948735;179.9999999979503
1141;540;779;540;362.0;180.0;326.16406914312313;175.17911823132513;179.999999998375
1142;540;778;540;364.0;180.0;327.82922383460567;175.27457808617615;179.99999999871167
1143;540;777;540;366.0;180.0;329.495068248373;175.36814770925523;179.99999999897858
1144;540;776;540;368.0;180.0;331.16159197588115;175.45986452965911;179.9999999991902
1145;540;775;540;370.0;180.0;332.8287848128524;175.54976523533892;179.99999999935798
1146;540;774;540;372.0;180.0;334.4966367543925;175.63788578777562;179.999999999491
1147;540;773;540;374.0;180.0;336.1651379902443;175.7242614363651;179.99999999959644
1148;540;772;540;376.0;180.0;337.83427890017316;175.80892673251853;179.99999999968006
1149;540;771;540;378.0;180.0;339.50405004948027;175.89191554348326;179.99999999974636
1150;540;770;540;380.0;180.0;341.1744421846396;175.9732610658902;179.99999999979892
1151;540;769;540;382.0;180.0;342.84544622905526;176.05299583903292;179.99999999984055
1152;540;768;540;384.0;180.0;344.5170532789342;176.1311517578838;179.99999999987358
1153;540;767;540;386.0;180.0;346.1892545992726;176.20776008585256;179.9999999998998
1154;540;766;540;388.0;180.0;347.8620416199503;176.28285146729175;179.99999999992053
1155;540;765;540;390.0;180.0;349.5354059319313;176.35645593975522;179.99999999993702
1156;540;764;540;392.0;180.0;351.20933928356743;176.42860294601337;179.9999999999501
1157;540;763;540;394.0;180.0;352.88383357700025;176.49932134583062;179.99999999996038
1158;540;762;540;396.0;180.0;354.5588808646598;176.5686394275099;179.99999999996862
1159;540;761;540;398.0;180.0;356.2344733458569;176.6365849192081;179.9999999999751
1160;540;760;540;400.0;180.0;357.9106033634656;176.70318500002784;179.99999999998025
1161;540;759;540;402.0;180.0;359.58726340069387;176.7684663108895;179.99999999998437
1162;540;758;540;404.0;180.0;361.2644460779389;176.8324549651878;179.9999999999876
1163;540;757;540;406.0;180.0;362.9421441497253;176.89517655923768;179.99999999999017
1164;540;756;540;408.0;180.0;364.6203505017239;176.95665618251306;179.9999999999922
1165;540;755;540;410.0;180.0;366.2990581478473;177.01691842768298;179.9999999999938
1166;540;754;540;412.0;180.0;367.9782602274216;177.07598740044904;179.99999999999508
1167;540;753;540;414.0;180.0;369.6579500024313;177.1338867291879;179.99999999999613
1168;540;752;540;416.0;180.0;371.3381208548349;177.1906395744031;179.99999999999693
1169;540;751;540;418.0;180.0;373.01876628394984;177.2462686379894;179.99999999999756
1170;540;750;540;420.0;180.0;374.6998799039039;177.30079617231402;179.99999999999807
